type,layer,block,x,y
INSERT,AFC,客服中心,-3288200.16391154,-1274357.668505991
INSERT,连续墙,A$C517E0D6C,221507.2292139002,-2505476.131579467
INSERT,WALL,dashhhggfdd,1239953.410365461,-2726546.348717521
INSERT,WALL,dashhhggfdd,1185682.995173392,-2727229.3400033
INSERT,STAIR,_LIFTD,-6544921.667143787,-9187440.822626889
INSERT,STAIR,_LIFTD,-6544911.064952536,-9187391.959645633
INSERT,COLUMN,_FZHK,-6682151.25463475,-9222105.600649342
INSERT,COLUMN,_FZHK,-6688043.865549793,-9220974.390410727
INSERT,COLUMN,_FZHK,-6680681.864090444,-9214781.544981319
INSERT,COLUMN,_FZHK,-6675573.420658625,-9189318.931099318
INSERT,COLUMN,_FZHK,-6673803.070605243,-9180494.767643869
INSERT,COLUMN,_FZHK,-6672032.720551859,-9171670.60418842
INSERT,COLUMN,_FZHK,-6679639.324614563,-9209585.093168666
INSERT,COLUMN,_FZHK,-6678155.181153146,-9202187.502805179
INSERT,COLUMN,_FZHK,-6677343.770712005,-9198143.094554767
INSERT,COLUMN,_FZHK,-6676655.301246802,-9194711.475433205
INSERT,COLUMN,_FZHK,-6688776.210616172,-9223989.23629464
INSERT,COLUMN,_FZHK,-6672917.895578551,-9176082.685916142
INSERT,COLUMN,_FZHK,-6674550.551738892,-9184220.525547285
INSERT,COLUMN,_FZHK,-6480084.744894797,-9265858.015057153
INSERT,COLUMN,_FZHK,-6487070.540963693,-9264456.487931557
INSERT,COLUMN,_FZHK,-6498741.84481758,-9260279.061528832
INSERT,COLUMN,_FZHK,-6507170.024389994,-9260424.023921073
INSERT,COLUMN,_FZHK,-6513543.031330039,-9259145.43777141
INSERT,COLUMN,_FZHK,-6518445.34436085,-9258161.909963977
INSERT,COLUMN,_FZHK,-6526779.276513219,-9256489.912691341
INSERT,COLUMN,_FZHK,-6532784.609975951,-9255285.091127229
INSERT,COLUMN,_FZHK,-6537691.825319787,-9254300.579791985
INSERT,COLUMN,_FZHK,-6543319.680679151,-9253171.489869046
INSERT,COLUMN,_FZHK,-6479597.515479959,-9262793.992782873
