type,layer,x,y,text
TEXT,I-TEXT,-10759691.61233964,-8692781.929031655,TVM
TEXT,I-TEXT,-10622947.0236738,-8203393.454068654,TVM
TEXT,PUB_TEXT,-9920720.069456478,-9272159.203864974,12
TEXT,PUB_TEXT,-9917340.284424058,-9273096.586591311,2
TEXT,I-TEXT,-6532304.83273537,-9189770.988837011,消防栓
TEXT,PUB_TEXT,-6556150.02458903,-9226450.925158593,出站
TEXT,PUB_TEXT,-6595756.096296461,-9243885.611509405,下
TEXT,C-NAME,-6650566.525557003,-9266270.714152097,设备用房
TEXT,PUB_TEXT,-6519392.011733177,-9302889.673391742,设备用房
TEXT,PUB_TEXT,-6590983.054160012,-9282596.126254517,磁悬浮站厅层(二层)
TEXT,PUB_TEXT,-6575893.436355373,-9274787.488055592,非付费区
TEXT,PUB_TEXT,-6555956.230052658,-9298921.639861253,付费区
TEXT,C-NAME,-6544249.975879361,-9204040.166019277,换乘通道
TEXT,C-NAME,-6522759.023745914,-9237257.978870232,设备用房
TEXT,C-NAME,-6573118.433882454,-9176079.962605093,7号线站厅层(地下一层)
TEXT,C-NAME,-6606457.325742667,-9200284.940706946,万邦商场
TEXT,PUB_TEXT,-6670746.019627367,-9187657.716540694,非付费区
TEXT,PUB_TEXT,-6553574.045192314,-9208878.964539081,玻璃墙
TEXT,PUB_TEXT,-6584344.292534127,-9228690.974282029,付费区
TEXT,PUB_TEXT,-6667891.201596019,-9215591.279686798,付费区
TEXT,PUB_TEXT,-6565673.742802353,-9243908.074078504,付费区
TEXT,PUB_TEXT,-6616630.111992475,-9219832.744301543,2号线站厅层(一层)
TEXT,C-NAME,-6702776.147508493,-9236408.586794782,消防车道
TEXT,C-NAME,-6697555.182302254,-9265464.84754,换乘通道
TEXT,C-NAME,-6464317.925264724,-9174994.282627663,负一层站厅（7号线）
TEXT,TEXT填表内容,-6664439.898692474,-9255671.577149847,电
TEXT,TEXT填表内容,-6674999.023086767,-9254675.272264249,电
TEXT,TEXT填表内容,-6677099.282022397,-9262725.321771934,电
TEXT,PUB_TEXT,-6616382.965298441,-9286479.554485003,付费区
TEXT,STAIR,-6619418.257723672,-9248649.506628618,上
TEXT,STAIR,-6617624.008494679,-9248927.003875179,下
TEXT,C-NAME,-6604484.773952694,-9242991.741284859,商业
ATTRIB,WINDOW_TEXT,-6522427.01708947,-9257244.519374573,
ATTRIB,WINDOW_TEXT,-6516229.335552051,-9259293.672920064,
ATTRIB,WINDOW_TEXT,-6534199.920194563,-9254882.5776724,
ATTRIB,WINDOW_TEXT,-6537563.85625696,-9253071.743764941,
ATTRIB,WINDOW_TEXT,-6534429.742966749,-9252777.492374045,
ATTRIB,WINDOW_TEXT,-6535442.052897628,-9253807.112643785,
ATTRIB,WINDOW_TEXT,-6535113.666438129,-9252170.297488396,
ATTRIB,建-符号-门编号,-6685272.530801023,-9321720.848776564,
ATTRIB,建-符号-门编号,-6657034.216822918,-9332859.738592899,
ATTRIB,建-符号-门编号,-6661053.876212649,-9334124.667298516,
ATTRIB,建-符号-门编号,-6664040.299796063,-9338251.475229162,
ATTRIB,建-符号-门编号,-6662138.394651334,-9338005.996936168,
ATTRIB,建-符号-门编号,-6500510.296966003,-9355456.787515437,
ATTRIB,建-符号-门编号,-6671119.323004545,-9328057.138119392,
ATTRIB,建-符号-门编号,-6665970.209505392,-9326536.733511128,
ATTRIB,建-符号-门编号,-6664530.361414003,-9326939.054867411,
ATTRIB,建-符号-门编号,-6666490.599209939,-9328733.564748301,
ATTRIB,建-符号-门编号,-6664948.89859029,-9329161.544279131,
ATTRIB,建-符号-门编号,-6681246.667554886,-9320824.953615899,
ATTRIB,建-符号-门编号,-6682787.642100854,-9320394.375575727,
ATTRIB,建-符号-门编号,-6677572.153915784,-9326254.092576171,
ATTRIB,建-符号-门编号,-6678766.221492614,-9331990.63162743,
ATTRIB,建-符号-门编号,-6663284.100563608,-9336223.187774692,
ATTRIB,建-符号-门编号,-6535721.347780492,-9367063.230017178,
ATTRIB,建-符号-门编号,-6534253.038218544,-9368459.892836286,
ATTRIB,建-符号-门编号,-6529291.096685083,-9369852.844502192,
ATTRIB,建-符号-门编号,-6521200.98031875,-9372113.379213097,
ATTRIB,建-符号-门编号,-6509162.116678375,-9375477.270151936,
ATTRIB,建-符号-门编号,-6517446.78457658,-9373155.884586905,
ATTRIB,建-符号-门编号,-6519180.380940793,-9372671.484291716,
ATTRIB,建-符号-门编号,-6504565.188114119,-9374990.134585708,
ATTRIB,建-符号-门编号,-6528460.972164443,-9348488.074592827,
ATTRIB,建-符号-门编号,-6486774.038125471,-9363192.716157829,
ATTRIB,建-符号-门编号,-6490555.051540726,-9376724.398889614,
ATTRIB,建-符号-门编号,-6507698.393364623,-9371934.218192706,
