method,occupant_name,exit_time_s,congestion_time_total_s,distance_m
Improved A*,6876,12.6,0.175,0
Improved A*,6877,38.125,0.175,0
Improved A*,6878,42.025,0.175,0
Improved A*,6879,36.925,0.175,0
Improved A*,6881,34.8,0.175,0
Improved A*,6882,39.55,0.175,0
Improved A*,6883,27.825,0.175,0
Improved A*,6884,51.875,0.175,0
Improved A*,6885,10.975,0.175,0
Improved A*,6887,33.775,0.175,0
Improved A*,6888,29.5,0.175,0
Improved A*,6889,55.925,0.175,0
Improved A*,6891,47.125,0.175,0
Improved A*,6892,45.5,0.175,0
Improved A*,6893,30.875,0.175,0
Improved A*,27567,14.375,0.15,0
Improved A*,27568,54.075,5.1,0
Improved A*,27569,66.525,0.15,0
Improved A*,27570,45.55,0.15,0
Improved A*,27571,50.425,13.5,0
Improved A*,27572,63.6,17.6,0
Improved A*,27573,28.35,0.15,0
Improved A*,27574,32.875,0.15,0
Improved A*,27575,58.125,0.175,0
Improved A*,27576,49.35,0.15,0
Improved A*,27577,16.525,0.2,0
Improved A*,27578,58.975,9.8,0
Improved A*,27579,31.875,0.15,0
Improved A*,27580,60.025,11.575,0
Improved A*,27581,37.275,0.15,0
Improved A*,27582,39.95,2.225,0
Improved A*,27583,39.075,11.2,0
Improved A*,27584,43.025,0.15,0
Improved A*,27585,27.3,0.175,0
Improved A*,27586,35.225,0.875,0
Improved A*,27587,42.575,0.15,0
Improved A*,27588,50.925,1.9,0
Improved A*,27589,57.275,6.0,0
Improved A*,27590,23.25,0.15,0
Improved A*,27591,46.725,3.275,0
Improved A*,27592,26.675,0.15,0
Improved A*,27593,40.875,0.2,0
Improved A*,27594,33.8,8.3,0
Improved A*,27595,36.25,0.175,0
Improved A*,27596,28.175,3.2,0
Improved A*,27597,46.525,0.15,0
Improved A*,27598,43.125,0.15,0
Improved A*,27599,29.375,0.95,0
Improved A*,27600,21.85,0.15,0
Improved A*,27601,64.95,15.15,0
Improved A*,27602,46.6,10.625,0
Improved A*,27603,44.575,10.6,0
